"Name","Company","State","City","Salary","Location","Url"
"Business Development Representative "," inRiver  Online Now","NY","New York","","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=340926&s=58&guid=00000162ef4b9d23a0ea2631ea5d9081&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6717bad7&cb=1524433133656&jobListingId=2698582931"
"Support Engineer"," MacTech  ","NY","New York","","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=340881&s=58&guid=00000162ef4b9d23a0ea2631ea5d9081&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_a2bd29c9&cb=1524433133657&jobListingId=2585438405"
"Software Engineer"," Medidata Solutions  ","NY","New York","$82k-$121k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=120626&s=58&guid=00000162ef4b9d23a0ea2631ea5d9081&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_74b23e05&cb=1524433133658&jobListingId=2693134060"
"Software Engineer – Full Time"," Citadel  ","NY","New York","$152k-$216k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=176144&s=58&guid=00000162ef4b9d23a0ea2631ea5d9081&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b8664915&cb=1524433133659&jobListingId=2603183173"
"Senior Software Engineer"," Jet  ","NY","New York","$142k-$203k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=320917&s=58&guid=00000162ef4b9d23a0ea2631ea5d9081&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_403befab&cb=1524433133661&jobListingId=2558961326"
"Software Engineer"," GroundTruth  ","NY","New York","$91k-$134k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=298437&s=58&guid=00000162ef4b9d23a0ea2631ea5d9081&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_db7d1823&cb=1524433133662&jobListingId=2569997992"
"Software Engineer"," Harris  ","NJ","Clifton","$73k-$105k","Clifton, NJ","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=256509&s=58&guid=00000162ef4b9d23a0ea2631ea5d9081&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e588fe9e&cb=1524433133663&jobListingId=2671109035"
"Software Engineer"," Stride Consulting  ","NY","New York","$76k-$113k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=295507&s=58&guid=00000162ef4b9d23a0ea2631ea5d9081&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d4473448&cb=1524433133664&jobListingId=2657216099"
"Senior Data Engineer"," AI/Data Startup (Stealth Mode)  ","NY","New York","","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=303225&s=58&guid=00000162ef4b9d23a0ea2631ea5d9081&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_a4c4ca77&cb=1524433133665&jobListingId=2643262343"
"Software Engineer"," Amazon  ","NY","New York","$95k-$135k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=297635&s=58&guid=00000162ef4b9d23a0ea2631ea5d9081&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4b84e741&cb=1524433133667&jobListingId=2700028910"
"Software Engineer"," IntraEdge  ","NY","New York","$69k-$110k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=296867&s=58&guid=00000162ef4b9d23a0ea2631ea5d9081&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_a973968e&cb=1524433133668&jobListingId=2678647907"
"Software Engineer"," canfield scientific  ","NJ","Fairfield","$97k-$142k","Fairfield, NJ","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=290228&s=58&guid=00000162ef4b9d23a0ea2631ea5d9081&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_dc3f4919&cb=1524433133669&jobListingId=2655750930"
"Software Engineer"," 1010data  ","NY","New York","$109k-$159k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=308123&s=58&guid=00000162ef4b9d23a0ea2631ea5d9081&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_6c474fbe&cb=1524433133671&jobListingId=2569814333"
"Software Engineer: Product Infrastructure"," Oscar Insurance  ","NY","New York","$142k-$205k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=303870&s=58&guid=00000162ef4b9d23a0ea2631ea5d9081&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_5c77f578&cb=1524433133672&jobListingId=2664383787"
"Software Development Engineer / DevOps Engineer"," Workday  ","NY","New York","$105k-$136k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=318176&s=58&guid=00000162ef4b9d23a0ea2631ea5d9081&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c31cb932&cb=1524433133673&jobListingId=2662262848"
"Software Developer Specialist"," Nasdaq  ","NY","New York","$75k-$118k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=70613&s=58&guid=00000162ef4b9d23a0ea2631ea5d9081&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_23a6842e&cb=1524433133675&jobListingId=2664560947"
"Software Engineering Manager"," WGSN  ","NY","New York","$119k-$161k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=333988&s=58&guid=00000162ef4b9d23a0ea2631ea5d9081&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e478aa9f&cb=1524433133676&jobListingId=2711262205"
"Software Engineer: Data/Systems"," Oscar Insurance  ","NY","New York","$142k-$205k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=303870&s=58&guid=00000162ef4b9d23a0ea2631ea5d9081&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_cb010a87&cb=1524433133677&jobListingId=2410748502"
