"Name","Company","City","State","Url"
"Database Administrator","Randstad","Somerville","MA","https://job-openings.monster.com/Database-Administrator-Somerville-MA-US-Randstad/11/194842355"
"SQL Database Engineer / Senior DBA","Softworld Inc","Boston","MA","https://job-openings.monster.com/SQL-Database-Engineer-Senior-DBA-Boston-MA-US-Softworld-Inc/11/194805702"
"Fulltime - Business Intelligence Analyst, Foxborough, MA","RJT Compuquest","Foxborough","MA","https://job-openings.monster.com/Fulltime-Business-Intelligence-Analyst-Foxborough-MA-Foxborough-MA-US-RJT-Compuquest/11/195182450"
"Oracle Database Administrator","NTT DATA Services","Boston","MA","https://job-openings.monster.com/Oracle-Database-Administrator-Boston-MA-US-NTT-DATA-Services/11/195378269"
"Database Specialist","CALNET INC","Boston","MA","https://job-openings.monster.com/Database-Specialist-Boston-MA-US-CALNET-INC/11/195329996"
"MongoDB Database Specialist","Diskriter Inc.","Andover","MA","https://job-openings.monster.com/MongoDB-Database-Specialist-Andover-MA-US-Diskriter-Inc/11/194646058"
"Database/Web Developer","Massachusetts Adoption Resource Exchange (MARE)","Newton","MA","https://job-openings.monster.com/Database-Web-Developer-Newton-MA-US-Massachusetts-Adoption-Resource-Exchange-MARE/11/195041495"
"Senior Database Architect","Quest Controls","Boston","MA","https://job-openings.monster.com/Senior-Database-Architect-Boston-MA-US-Quest-Controls/11/194714798"
"Database Administrator","Complete Staffing","Westborough","MA","https://job-openings.monster.com/Database-Administrator-Westborough-MA-US-Complete-Staffing/11/194910094"
"Sr. Data Architect  Oracle","Real Soft, Inc.","Marlborough","MA","https://job-openings.monster.com/Sr-Data-Architect-Oracle-Marlborough-MA-US-Real-Soft-Inc/11/195207704"
"Database Analyst / Industrial-Systems Engineer","Skipping Stone","Peabody","MA","https://job-openings.monster.com/Database-Analyst-Industrial-Systems-Engineer-Peabody-MA-US-Skipping-Stone/11/194583776"
"ETL/BI Developer","California Creative Solutions","Boston","MA","https://job-openings.monster.com/ETL-BI-Developer-Boston-MA-US-California-Creative-Solutions/11/195338853"
"Data Warehousing Developer/SQL Developer","E-Talent Network","Boston","MA","https://job-openings.monster.com/Data-Warehousing-Developer-SQL-Developer-Boston-MA-US-E-Talent-Network/11/194618591"
"Data Architect w/ Business Intelligence","Randstad Technologies","Cambridge","MA","https://job-openings.monster.com/Data-Architect-w-Business-Intelligence-Cambridge-MA-US-Randstad-Technologies/11/195375331"
"Core Java Developer with strong Oracle PL/SQL","Mastech Digital","Lowell","MA","https://job-openings.monster.com/Core-Java-Developer-with-strong-Oracle-PL-SQL-Lowell-MA-US-Mastech-Digital/11/194588341"
"Principal Oracle Applications DBA","Data Intensity, LLC","Bedford","MA","https://job-openings.monster.com/Principal-Oracle-Applications-DBA-Bedford-MA-US-Data-Intensity-LLC/11/195174532"
"Senior Oracle DBA","Company Confidential","Boston","MA","https://job-openings.monster.com/Senior-Oracle-DBA-Boston-MA-US/11/195131623"
"ETL Developer","Sriven Systems Inc.","Boston","MA","https://job-openings.monster.com/ETL-Developer-Boston-MA-US-Sriven-Systems-Inc/11/195080606"
"Senior Business Intelligence Developer","Daley and Associates","Boston","MA","https://job-openings.monster.com/Senior-Business-Intelligence-Developer-Boston-MA-US-Daley-Associates/11/194620210"
"Oracle Fusion Middleware Developer/Lead","CDI Corporation","Waltham","MA","https://job-openings.monster.com/Oracle-Fusion-Middleware-Developer-Lead-Waltham-MA-US-CDI-Corporation/11/195011833"
"Senior Business Intelligence Developer","WinterWyman","Boston","MA","https://job-openings.monster.com/Senior-Business-Intelligence-Developer-Boston-MA-US-WinterWyman/11/194572479"
"ETL-BI Architect","Alans Group","Billerica","MA","https://job-openings.monster.com/ETL-BI-Architect-Billerica-MA-US-Alans-Group/11/194920262"
"Sharepoint/SQL Application Administrator","Vanderweil Engineers","Boston","MA","https://job-openings.monster.com/Sharepoint-SQL-Application-Administrator-Boston-MA-US-Vanderweil-Engineers/11/194880765"
"Data Architect Manager/Lead","Talus Partners","Boston","MA","https://job-openings.monster.com/Data-Architect-Manager-Lead-Boston-MA-US-Talus-Partners/11/194768282"
"Need Big Data Architect / Solutions Architect.","BillionAPPS","Boston","MA","https://job-openings.monster.com/Need-Big-Data-Architect-Solutions-Architect-Boston-MA-US-BillionAPPS/11/191702358"
"SQL DB Administrator","Tata Consultancy Services","Cambridge","MA","https://job-openings.monster.com/SQL-DB-Administrator-Cambridge-MA-US-Tata-Consultancy-Services/11/193692494"
"Informatica Developer","Business Knowledge Services","Framingham","MA","https://job-openings.monster.com/Informatica-Developer-Framingham-MA-US-Business-Knowledge-Services/11/195258037"
"Senior Java-SQL-AWS Developer","Open Systems Technologies","RLBOROUGH","MA","https://job-openings.monster.com/Senior-Java-SQL-AWS-Developer-MARLBOROUGH-MA-US-Open-Systems-Technologies/11/195097334"
"Business Intelligence Analyst","StaffRight Associates","Burlington","MA","https://job-openings.monster.com/Business-Intelligence-Analyst-Burlington-MA-US-StaffRight-Associates/11/194763630"
"Business Intelligence Analyst","Element Care","Lynn","MA","https://job-openings.monster.com/Business-Intelligence-Analyst-Lynn-MA-US-Element-Care/11/192694634"
"DBA/Software Engineer","Aptima, Inc.","Woburn","MA","https://job-openings.monster.com/DBA-Software-Engineer-Woburn-MA-US-Aptima-Inc/11/193609451"
"Oracle eCommerce Developer - (Endeca - ATG)","New Directions","Boston","MA","https://job-openings.monster.com/Oracle-eCommerce-Developer-Endeca-ATG-Boston-MA-US-New-Directions/11/193106883"
"Freelance Database Assistant","Custom Learning Designs, Inc","Belmont","MA","https://job-openings.monster.com/Freelance-Database-Assistant-Belmont-MA-US-Custom-Learning-Designs-Inc/11/195327553"
"Informatica EDI Consultant","EDI Specialists, Inc.","Burlington","MA","https://job-openings.monster.com/Informatica-EDI-Consultant-Burlington-MA-US-EDI-Specialists-Inc/11/194795256"
"Hyperion PBCS Solution Architect","Software Programming Group","boston","MA","https://job-openings.monster.com/Hyperion-PBCS-Solution-Architect-boston-MA-US-Software-Programming-Group/11/194882262"
"Sr. Hyperion Architect","Brains Workgroup, Inc.","Boston","MA","https://job-openings.monster.com/Sr-Hyperion-Architect-Boston-MA-US-Brains-Workgroup-Inc/11/194359763"
"Oracle Applications Programmer / Analyst","4133630204","Townsend","MA","https://job-openings.monster.com/Oracle-Applications-Programmer-Analyst-Townsend-MA-US-4133630204/11/194410656"
"Database /ETL Administrator - SQl/Python - Junior to Mid Level","CyberCoders","Boston","MA","https://job-openings.monster.com/Database-ETL-Administrator-SQl-Python-Junior-to-Mid-Level-Boston-MA-US-CyberCoders/11/195137664"
"Database Administrator","Hollister Staffing","Boston","MA","https://job-openings.monster.com/Database-Administrator-Boston-MA-US-Hollister-Staffing/11/195171555"
"SQL Developer","Kforce Inc","Wellesley Hills","MA","https://job-openings.monster.com/SQL-Developer-Wellesley-Hills-MA-US-Kforce-Inc/11/194974726"
"W2 Only Contract to Hire Spark, Scala, Hadoop, Oracle ETL Developer","Eliassen Group","Boston","MA","https://job-openings.monster.com/W2-Only-Contract-to-Hire-Spark-Scala-Hadoop-Oracle-ETL-Developer-Boston-MA-US-Eliassen-Group/11/194946532"
"Data Warehouse Specialist","The Judge Group","Taunton","MA","https://job-openings.monster.com/Data-Warehouse-Specialist-Taunton-MA-US-The-Judge-Group/11/194866152"
"MS Access Developer","Harvey Nash, Inc","Southborough","MA","https://job-openings.monster.com/MS-Access-Developer-Southborough-MA-US-Harvey-Nash-Inc/11/194800223"
