"Name","Company","City","State","Url","Terms"
"Marketing Data Scientist Specialist","PerkinElmer","Hopkinton","MA","https://job-openings.monster.com/Marketing-Data-Scientist-Specialist-Hopkinton-MA-US-PerkinElmer/11/194824772","{'data', 'mining', 'customer', 'master', 'development', 'sql', 'spss', 'testing', 'analysis', 'design', 'phd', 'sas'}"
"Data Scientist,","SNI Technology","Boston","MA","https://job-openings.monster.com/Data-Scientist-Boston-MA-US-SNI-Technology/11/195157799","{'data', 'python', 'science', 'travel', 'hadoop', 'customer', 'learning', 'machine', 'big'}"
"Data Scientist","Hollister Staffing","Boston","MA","https://job-openings.monster.com/Data-Scientist-Boston-MA-US-Hollister-Staffing/11/195379971","{'data', 'python', 'science', 'c++', 'java', 'master', 'learning', 'visualization', 'analysis', 'computer', 'phd', 'database', 'sas'}"
"Senior Data Scientist (Python, R, AdTech)","CyberCoders","Boston","MA","https://job-openings.monster.com/Senior-Data-Scientist-Python-R-AdTech-Boston-MA-US-CyberCoders/11/195032507","{'python', 'bs', 'team', 'artificial', 'visualization', 'computer', 'data', 'linux', 'mining', 'learning', 'tableau', 'analysis', 'machine', 'intelligence', 'science', 'apache', 'customer', 'sql', 'excel', 'spark', 'algorithms'}"
"100% Greenfield Project - AWS - Data Pipeline and Data Science","Company Confidential","Boston","MA","https://job-openings.monster.com/100-Greenfield-Project-AWS-Data-Pipeline-Data-Science-Boston-MA-US/11/194862954","{'data', 'science', 'aws', 'team', 'javascript', 'big', 'design'}"
"Data Science Engineer","NTT DATA Services","Boston","MA","https://job-openings.monster.com/Data-Science-Engineer-Boston-MA-US-NTT-DATA-Services/11/195090321","{'data', 'python', 'interface', 'science', 'aws', 'team', 'web', 'development'}"
"Sr. Director Business Development - Boston / New England","IQVIA","Boston","MA","https://job-openings.monster.com/Sr-Director-Business-Development-Boston-New-England-Boston-MA-US-IQVIA/22/910ca2de-4397-457f-be69-936a806e42fc","{'data', 'science', 'travel', 'vision', 'system', 'bachelor', 'team', 'ms', 'customer', 'development', 'excel'}"
"VP of User Experience (Head of UX)","Monster-US","Weston","MA","https://job-openings.monster.com/VP-of-User-Experience-Head-of-UX-Weston-MA-US-Monster-US/11/194968542","{'data', 'interface', 'science', 'map', 'vision', 'ux', 'process', 'team', 'web', 'ui', 'customer', 'mobile', 'test', 'development', 'app', 'hci', 'learning', 'testing', 'design', 'quality'}"
"Data Research Associate","Yoh","Boston","MA","https://job-openings.monster.com/Data-Research-Associate-Boston-MA-US-Yoh/11/195354628","{'python', 'process', 'team', 'web', 'javascript', 'master', 'computer', 'database', 'data', 'linux', 'windows', 'processing', 'development', 'analysis', 'spotfire', 'science', 'vision', 'bachelor', 'application', 'c', 'testing', 'operating', 'interface', 'control', 'c++', 'aws', 'java', 'agile', 'c#', 'software', 'php'}"
"Database Rest API Engineer","Randstad Technologies","Boston","MA","https://job-openings.monster.com/Database-Rest-API-Engineer-Boston-MA-US-Randstad-Technologies/11/195319969","{'python', 'team', 'api', 'computer', 'database', 'data', 'processing', 'distributed', 'development', 'nodejs', 'science', 'system', 'rest', 'customer', 'postgres', 'spark', 'scalable', 'cloud', 'aws', 'java', 'agile', 'big', 'design', 'software', 'restful'}"
